Rank,Undergraduate Major,astronauts,avg_total_flights,avg_days_in_space
1,Physics,35,2.4444444444444446,27.69868827160494
2,Aerospace Engineering,33,2.4444444444444446,266.2324845679012
3,Mechanical Engineering,30,2.4285714285714284,57.228968253968254
4,Aeronautical Engineering,28,2.5,24.446875000000002
5,Electrical Engineering,23,1.6666666666666667,15.171064814814814
6,Engineering Science,13,3.5,28.157291666666666
7,Engineering,12,,
8,Mathematics,11,3.3333333333333335,35.84467592592592
9,Chemistry,10,2.5,28.703125
10,Chemical Engineering,9,2.5,71.54340277777779
11,Naval Sciences,9,2.0,15.372916666666667
12,Astronautical Engineering,8,1.5,81.23993055555556
13,Aeronautical & Astronautical Engineering,6,3.0,19.913888888888888
14,Geology,5,2.0,156.48611111111111
15,Biology,5,1.3333333333333333,58.619675925925925
